CLS_ID	FREQ	PST	3S	PP	ING
C001	13180	↑d	↑s	↑d	↓e↑ing
C002	4529	↑ed	↑s	↑ed	↑ing
C003	1505	↑ed	↑es	↑ed	↑ing
C004	1047	↓y↑ied	↓y↑ies	↓y↑ied	↑ing
C005	368	↑ped	↑s	↑ped	↑ping
C006	325	↑ted	↑s	↑ted	↑ting
C007	246	↑ged	↑s	↑ged	↑ging
C008	223	↑led	↑s	↑led	↑ling
C009	160	↑ned	↑s	↑ned	↑ning
C010	152	↑d	↑s	↑d	↑ing
C011	147	↑bed	↑s	↑bed	↑bing
C012	139	↑med	↑s	↑med	↑ming
C013	109	↑red	↑s	↑red	↑ring
C014	98	∅	↑s	∅	↑ting
C015	92	↑ded	↑s	↑ded	↑ding
C016	84	∅	↑s	∅	↑ing
C017	62	↓d↑t	↑s	↓d↑t	↑ing
C018	48	↓e	↑s	↓e	↑ing
C019	46	↓i↑ou	↑s	↓i↑ou	↑ing
C020	43	↓o↑e	↑s	↑n	↑ing
C021	42	↑d	↑s	↑d	↓ie↑ying
C022	42	↓e↑t	↑s	↓e↑t	↑ing
C023	42	↓y↑id	↑s	↓y↑id	↑ing
C024	41	↑ked	↑s	↑ked	↑king
C025	37	↑ed	↑s	↑n	↑ing
C026	36	↓i↑a	↑s	↓i↑u	↑ing
C027	31	↓ake↑ook	↑s	↑n	↓e↑ing
C028	31	↓eak↑oke	↑s	↓eak↑oken	↑ing
C029	29	↓i↑o	↑s	↑n	↓e↑ing
C030	27	↓ear↑ore	↑s	↓ear↑orn	↑ing
C031	26	↓i↑o	↑s	↓e↑ten	↓e↑ing
C032	24	↓i↑u	↑s	↓i↑u	↑ing
C033	22	↓a↑e	↑s	↑n	↑ing
C034	22	↓ell↑old	↑s	↓ell↑old	↑ing
C035	21	↑t	↑s	↑t	↑ing
C036	21	↓i↑a	↑s	↓i↑a	↑ting
C037	19	↓o↑e	↑s	↓o↑e	↑ing
